id,race,sex,age,juv_fel_count,juv_misd_count,priors_count,charge_id,charge_degree (misd/fel),compas_decile_score,two_year_recid,compas_guess
1,Other,Male,69,0,0,0,16,1,1,No recid.,No recid.
3,Black,Male,34,0,0,0,170,1,3,Did recid.,No recid.
4,Black,Male,24,0,0,4,306,1,4,Did recid.,No recid.
5,Black,Male,23,0,1,1,303,1,8,No recid.,Did recid.
6,Other,Male,43,0,0,2,28,1,1,No recid.,No recid.
7,Other,Male,44,0,0,0,45,0,1,No recid.,No recid.
8,Caucasian,Male,41,0,0,14,292,1,6,Did recid.,Did recid.
9,Other,Male,43,0,0,3,28,1,4,No recid.,No recid.
10,Caucasian,Female,39,0,0,0,45,0,1,No recid.,No recid.
13,Caucasian,Male,21,0,0,1,198,1,3,Did recid.,No recid.
14,Caucasian,Male,27,0,0,0,248,1,4,No recid.,No recid.
15,Black,Male,23,0,0,3,45,0,6,Did recid.,Did recid.
16,Caucasian,Female,37,0,0,0,45,0,1,No recid.,No recid.
18,Black,Male,41,0,0,0,280,1,4,No recid.,No recid.
19,Caucasian,Female,47,0,0,1,28,1,1,Did recid.,No recid.
20,Black,Male,31,0,0,7,172,1,3,Did recid.,No recid.
21,Hispanic,Male,37,0,0,0,45,0,1,No recid.,No recid.
22,Black,Male,25,0,0,3,190,1,10,No recid.,Did recid.
23,Caucasian,Male,31,0,0,6,129,1,5,Did recid.,Did recid.
24,Caucasian,Male,31,0,0,5,311,1,3,Did recid.,No recid.
25,Black,Male,64,0,0,13,28,1,6,Did recid.,Did recid.
26,Black,Male,21,0,0,1,49,1,9,Did recid.,Did recid.
27,Caucasian,Male,27,0,0,0,317,0,2,Did recid.,No recid.
28,Caucasian,Female,21,0,0,0,202,1,4,No recid.,No recid.
30,Hispanic,Male,24,0,0,1,212,1,4,Did recid.,No recid.
32,Caucasian,Male,43,0,0,1,374,0,1,No recid.,No recid.
33,Other,Male,32,0,0,0,45,0,3,No recid.,No recid.
37,Black,Male,27,0,0,8,71,1,3,Did recid.,No recid.
38,Caucasian,Female,36,0,0,3,28,1,3,No recid.,No recid.
39,Black,Male,26,0,0,5,246,1,7,Did recid.,Did recid.
40,Black,Male,33,0,0,0,379,1,10,Did recid.,Did recid.
